"Tabela 9888 - População residente, Área territorial e Densidade demográfica em favelas e comunidades urbanas, segundo as Favelas e Comunidades Urbanas"
"Variável - População residente em favelas e comunidades urbanas (Pessoas)"
"Brasil, Favela e Comunidade Urbana 2022 e Município";"Ano"
"Arcoverde (PE)";"2324"
"Belo Jardim (PE)";"1440"
"Bezerros (PE)";"3823"
"Cabo de Santo Agostinho (PE)";"92321"
"Camaragibe (PE)";"20264"
"Camutanga (PE)";"816"
"Carpina (PE)";"1238"
"Caruaru (PE)";"23030"
"Escada (PE)";"6707"
"Garanhuns (PE)";"829"
"Goiana (PE)";"5277"
"Gravatá (PE)";"2768"
"Igarassu (PE)";"18998"
"Ipojuca (PE)";"12506"
"Ilha de Itamaracá (PE)";"6189"
"Itapissuma (PE)";"933"
"Jaboatão dos Guararapes (PE)";"288109"
"Limoeiro (PE)";"2601"
"Moreno (PE)";"14799"
"Olinda (PE)";"101370"
"Palmares (PE)";"4620"
"Paudalho (PE)";"11756"
"Paulista (PE)";"57022"
"Petrolina (PE)";"6502"
"Recife (PE)";"361548"
"Santa Cruz do Capibaribe (PE)";"2402"
"São Lourenço da Mata (PE)";"9542"
"São Vicente Férrer (PE)";"823"
"Timbaúba (PE)";"5716"
"Toritama (PE)";"1402"
"Vitória de Santo Antão (PE)";"2565"
"Arapiraca (AL)";"4673"
"Barra de Santo Antônio (AL)";"2531"
"Coruripe (AL)";"390"
"Delmiro Gouveia (AL)";"88"
"Japaratinga (AL)";"814"
"Maceió (AL)";"151593"
"Maragogi (AL)";"3434"
"Marechal Deodoro (AL)";"1882"
"Matriz de Camaragibe (AL)";"355"
"Palmeira dos Índios (AL)";"312"
"Paripueira (AL)";"514"
"Penedo (AL)";"1185"
"Porto Calvo (AL)";"249"
"Porto de Pedras (AL)";"956"
"Rio Largo (AL)";"4127"
"São Luís do Quitunde (AL)";"4562"
"São Miguel dos Milagres (AL)";"224"
"Aracaju (SE)";"103137"
"Barra dos Coqueiros (SE)";"3933"
"Carmópolis (SE)";"389"
"Estância (SE)";"2177"
"Laranjeiras (SE)";"2438"
"Maruim (SE)";"1303"
"Neópolis (SE)";"199"
"Nossa Senhora do Socorro (SE)";"35632"
"Riachuelo (SE)";"625"
"Rosário do Catete (SE)";"607"
"Santo Amaro das Brotas (SE)";"107"
"São Cristóvão (SE)";"10396"
"Araci (BA)";"318"
"Barreiras (BA)";"9408"
"Camaçari (BA)";"54526"
"Campo Formoso (BA)";"699"
"Candeias (BA)";"14242"
"Casa Nova (BA)";"1834"
"Catu (BA)";"1000"
"Eunápolis (BA)";"14782"
"Feira de Santana (BA)";"44699"
"Ilhéus (BA)";"64364"
"Itaberaba (BA)";"5110"
"Itabuna (BA)";"23610"
"Itamaraju (BA)";"1062"
"Itaparica (BA)";"3444"
"Jacobina (BA)";"6256"
"Jequié (BA)";"8888"
