"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Idade";"Ano";"Cor ou raça";"Sexo";""
"Idade";"Ano";"Cor ou raça";"Sexo";"Brasil"
"2 meses";"2022";"Preta";"Total";"10072"
"2 meses";"2022";"Preta";"Homens";"5012"
"2 meses";"2022";"Preta";"Mulheres";"5060"
"2 meses";"2022";"Amarela";"Total";"375"
"2 meses";"2022";"Amarela";"Homens";"195"
"2 meses";"2022";"Amarela";"Mulheres";"180"
"2 meses";"2022";"Parda";"Total";"87882"
"2 meses";"2022";"Parda";"Homens";"44587"
"2 meses";"2022";"Parda";"Mulheres";"43295"
"2 meses";"2022";"Indígena";"Total";"2196"
"2 meses";"2022";"Indígena";"Homens";"1117"
"2 meses";"2022";"Indígena";"Mulheres";"1079"
"3 meses";"2022";"Total";"Total";"195775"
"3 meses";"2022";"Total";"Homens";"98876"
"3 meses";"2022";"Total";"Mulheres";"96899"
"3 meses";"2022";"Branca";"Total";"98559"
"3 meses";"2022";"Branca";"Homens";"49510"
"3 meses";"2022";"Branca";"Mulheres";"49049"
"3 meses";"2022";"Preta";"Total";"9986"
"3 meses";"2022";"Preta";"Homens";"5104"
"3 meses";"2022";"Preta";"Mulheres";"4882"
"3 meses";"2022";"Amarela";"Total";"365"
"3 meses";"2022";"Amarela";"Homens";"196"
"3 meses";"2022";"Amarela";"Mulheres";"169"
"3 meses";"2022";"Parda";"Total";"84651"
"3 meses";"2022";"Parda";"Homens";"42976"
"3 meses";"2022";"Parda";"Mulheres";"41675"
"3 meses";"2022";"Indígena";"Total";"2205"
"3 meses";"2022";"Indígena";"Homens";"1085"
"3 meses";"2022";"Indígena";"Mulheres";"1120"
"4 meses";"2022";"Total";"Total";"203616"
"4 meses";"2022";"Total";"Homens";"103108"
"4 meses";"2022";"Total";"Mulheres";"100508"
"4 meses";"2022";"Branca";"Total";"103062"
"4 meses";"2022";"Branca";"Homens";"52216"
"4 meses";"2022";"Branca";"Mulheres";"50846"
"4 meses";"2022";"Preta";"Total";"10314"
"4 meses";"2022";"Preta";"Homens";"5189"
"4 meses";"2022";"Preta";"Mulheres";"5125"
"4 meses";"2022";"Amarela";"Total";"379"
"4 meses";"2022";"Amarela";"Homens";"209"
"4 meses";"2022";"Amarela";"Mulheres";"170"
"4 meses";"2022";"Parda";"Total";"87600"
"4 meses";"2022";"Parda";"Homens";"44371"
"4 meses";"2022";"Parda";"Mulheres";"43229"
"4 meses";"2022";"Indígena";"Total";"2251"
"4 meses";"2022";"Indígena";"Homens";"1118"
"4 meses";"2022";"Indígena";"Mulheres";"1133"
"5 meses";"2022";"Total";"Total";"181891"
"5 meses";"2022";"Total";"Homens";"92356"
"5 meses";"2022";"Total";"Mulheres";"89535"
"5 meses";"2022";"Branca";"Total";"91348"
"5 meses";"2022";"Branca";"Homens";"46677"
"5 meses";"2022";"Branca";"Mulheres";"44671"
"5 meses";"2022";"Preta";"Total";"9502"
"5 meses";"2022";"Preta";"Homens";"4819"
"5 meses";"2022";"Preta";"Mulheres";"4683"
"5 meses";"2022";"Amarela";"Total";"370"
"5 meses";"2022";"Amarela";"Homens";"189"
"5 meses";"2022";"Amarela";"Mulheres";"181"
"5 meses";"2022";"Parda";"Total";"78616"
"5 meses";"2022";"Parda";"Homens";"39631"
"5 meses";"2022";"Parda";"Mulheres";"38985"
"5 meses";"2022";"Indígena";"Total";"2050"
"5 meses";"2022";"Indígena";"Homens";"1038"
"5 meses";"2022";"Indígena";"Mulheres";"1012"
"6 meses";"2022";"Total";"Total";"194034"
"6 meses";"2022";"Total";"Homens";"98619"
"6 meses";"2022";"Total";"Mulheres";"95415"
"6 meses";"2022";"Branca";"Total";"95643"
"6 meses";"2022";"Branca";"Homens";"48571"
"6 meses";"2022";"Branca";"Mulheres";"47072"
"6 meses";"2022";"Preta";"Total";"10196"
"6 meses";"2022";"Preta";"Homens";"5167"
"6 meses";"2022";"Preta";"Mulheres";"5029"
"6 meses";"2022";"Amarela";"Total";"393"
"6 meses";"2022";"Amarela";"Homens";"212"
"6 meses";"2022";"Amarela";"Mulheres";"181"
"6 meses";"2022";"Parda";"Total";"85426"
